2017-06-05 21:37:46.460977 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 21:38:12.922849 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 21:38:22.777442 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 21:38:42.271113 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 21:38:57.903560 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 21:43:46.865325 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:03:08.412752 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:03:10.695970 EDT | observation space: Box(16,)
2017-06-05 22:03:10.705726 EDT | action space: <rllab.spaces.product.Product object at 0x1182ea518>
2017-06-05 22:08:01.985554 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:08:04.351179 EDT | observation space: Box(16,)
2017-06-05 22:08:04.351358 EDT | action space: Box(2,)
2017-06-05 22:08:04.495904 EDT | Training Policy on Limited-Range-Based-POMDP-Navigation-2d-Map0-v0
2017-06-05 22:10:00.437271 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:10:02.776776 EDT | observation space: Box(16,)
2017-06-05 22:10:02.776955 EDT | action space: Box(2,)
2017-06-05 22:10:02.906455 EDT | Training Policy on Limited-Range-Based-POMDP-Navigation-2d-Map0-v0
2017-06-05 22:10:03.678282 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:10:04.564187 EDT | observation space: Box(16,)
2017-06-05 22:10:04.564389 EDT | action space: Box(2,)
2017-06-05 22:10:04.565067 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:10:05.408673 EDT | observation space: Box(16,)
2017-06-05 22:10:05.408845 EDT | action space: Box(2,)
2017-06-05 22:10:05.409441 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:10:06.319214 EDT | observation space: Box(16,)
2017-06-05 22:10:06.319389 EDT | action space: Box(2,)
2017-06-05 22:10:06.320087 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:10:07.185269 EDT | observation space: Box(16,)
2017-06-05 22:10:07.185443 EDT | action space: Box(2,)
2017-06-05 22:10:07.186018 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:10:08.035799 EDT | observation space: Box(16,)
2017-06-05 22:10:08.035972 EDT | action space: Box(2,)
2017-06-05 22:10:08.036553 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:10:08.904689 EDT | observation space: Box(16,)
2017-06-05 22:10:08.904900 EDT | action space: Box(2,)
2017-06-05 22:10:08.905630 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:10:09.754883 EDT | observation space: Box(16,)
2017-06-05 22:10:09.755083 EDT | action space: Box(2,)
2017-06-05 22:10:09.755628 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:10:10.608847 EDT | observation space: Box(16,)
2017-06-05 22:10:10.609147 EDT | action space: Box(2,)
2017-06-05 22:10:10.609884 EDT | Warning: skipping Gym environment monitoring since snapshot_dir not configured.
2017-06-05 22:10:11.472652 EDT | observation space: Box(16,)
2017-06-05 22:10:11.472828 EDT | action space: Box(2,)
